# QDB Assay Design Statistics

## Basic Statistics
Statistic,Value
Total Valid Designs,1844022
Target Length (avg),100.00 ± 0.00
Target Length (min-max),100 - 100
Capture Probe Length (avg),50.00 ± 0.00
Capture Probe Length (min-max),50 - 50
Reporter Probe Length (avg),50.00 ± 0.00
Reporter Probe Length (min-max),50 - 50

## GC Content Statistics
Probe Type,Avg GC (%),Std Dev,Min (%),Max (%)
Capture Probe,46.02,4.15,40.00,58.33
Reporter Probe,46.07,4.19,40.00,60.00

## Melting Temperature Statistics
Probe Type,Avg Tm (°C),Std Dev,Min (°C),Max (°C)
Capture Probe,68.58,1.90,61.92,72.00
Reporter Probe,68.59,1.90,61.92,72.00

## Top 30 Organisms
Organism,Count,Percent,Strain Count
Human herpesvirus 4 DNA,8356,0.4531399300008352,21
Monkeypox virus,8115,0.44007067160803937,73
Human immunodeficiency virus 1 proviral DNA,8034,0.43567809928514956,286
UNVERIFIED: African swine fever virus,7489,0.4061231373595326,21
Equid alphaherpesvirus 4 DNA,3548,0.19240551360016311,8
Mandrillus leucophaeus cytomegalovirus isolate OCOM6-2,2886,0.15650572498592752,1
Human gammaherpesvirus 4 DNA,2774,0.15043204473699337,7
Bat betaherpesvirus B7D8,2760,0.1496728347058766,1
Bovine viral diarrhea virus 2,2156,0.11691834479198188,17
Saimiriine herpesvirus 4 strain SqSHV,2151,0.11664719835229732,1
Murid herpesvirus 8 isolate England,2073,0.1124173138932182,1
Human gammaherpesvirus 8 DNA,1976,0.10715707296333776,4
Human herpesvirus 6B,1776,0.09631121537595538,1
Cynomolgus cytomegalovirus isolate 31908,1704,0.09240670664449774,1
Rhinolophus gammaherpesvirus 1 BV1 DNA,1656,0.08980370082352597,1
Human herpesvirus 3,1652,0.08958678367177832,1
Human herpesvirus 8 strain GK18,1650,0.0894783250959045,1
Human betaherpesvirus 6A,1580,0.08568227494032067,1
Callitrichine herpesvirus 3 strain CJ0149,1539,0.08345887413490728,1
HIV-1,1534,0.08318772769522273,84
Cercopithecine herpesvirus 5 strain 2715,1473,0.0798797411310711,1
Elephant endotheliotropic herpesvirus 5 strain Vijay,1389,0.07532448094437051,1
Human herpesvirus 5 strain Merlin,1380,0.0748364173529383,1
Alcelaphine herpesvirus 2 isolate topi-AlHV-2,1272,0.06897965425575184,1
Bovine herpesvirus 6 isolate Pennsylvania 47,1266,0.06865427852813036,1
Equid alphaherpesvirus 8 strain EHV-8/IR/2003/19,1248,0.06767815134526595,1
Equid herpesvirus 8,1236,0.06702739989002302,1
Wood mouse herpesvirus strain WM8,1236,0.06702739989002302,1
Macacine herpesvirus 3,1190,0.06453285264492506,1
Monkeypox virus isolate RNA genome assembly,1186,0.0643159354931774,1
Rodent herpesvirus Peru,1182,0.06409901834142977,1
Western grey kangaroopox virus strain Western Australia,1089,0.05905569456329697,1
Cynomolgus macaque cytomegalovirus strain Ottawa,1080,0.05856763097186476,1
Eastern grey kangaroopox virus strain Sunshine Coast,1047,0.05677806446994667,1
African swine fever virus isolate ASFV Georgia 2007/1 genome assembly,1044,0.056615376606135935,1
Macropodid alphaherpesvirus 4 strain V3116/09,1020,0.05531387369565005,1
Elephantid herpesvirus 1,1002,0.05433774651278564,1
Phascolarctid gammaherpesvirus 1 strain 36M/11,982,0.0532531607540474,1
Ovine herpesvirus 2 strain BJ1035,906,0.04913173487084211,1
Coxsackievirus A6 genomic RNA,904,0.04902327629496828,27
Equid herpesvirus 4,888,0.04815560768797769,1
Vombatid gammaherpesvirus 1 strain V3187/11,878,0.04761331480860857,1
Human betaherpesvirus 6B strain Z29,868,0.047071021929239454,1
Human betaherpesvirus 6B strain GTEX-YF7O_icihhv6b,866,0.04696256335336563,1
Human alphaherpesvirus 3 strain vOka isolate VarilrixC,866,0.04696256335336563,1
Human betaherpesvirus 6B strain GTEX-OXRO_icihv6b,858,0.046528729049870335,1
Human alphaherpesvirus 3 isolate NSYY1,856,0.046420270473996515,1
Human alphaherpesvirus 3 isolate KPZ12-198,854,0.04631181189812269,1
Human alphaherpesvirus 3 isolate KPZ12-251,854,0.04631181189812269,1
Human alphaherpesvirus 3 isolate MCL-22-H-6234_663,848,0.045986436170501216,1
Human alphaherpesvirus 3 isolate KPZ13-071,846,0.045877977594627396,1
